Mean	Edge	Peak	median	beta	SINR	Fairness
-24.21	24.50	-45.35	0.36	0.10	12.25	0.85
-24.18	24.50	-45.35	-0.33	0.10	12.50	0.86
-24.16	78.49	-52.47	-5.98	0.07	16.75	0.91
-24.07	26.00	-44.90	-0.09	0.10	12.75	0.86
-24.02	80.84	-53.24	-7.22	0.07	17.25	0.88
-23.95	-16.69	-32.62	-23.33	0.16	8.00	0.75
-23.89	-3.02	-37.46	-6.01	0.13	10.00	0.79
-23.89	26.96	-45.18	-1.34	0.10	13.00	0.86
-23.86	83.28	-52.19	-7.35	0.07	17.50	0.87
-23.85	35.87	-46.42	-1.77	0.10	13.25	0.88
-23.81	-23.03	-24.45	-28.84	0.19	6.75	0.70
-23.74	-11.03	-33.07	-21.61	0.16	8.25	0.76
-23.63	41.49	-46.44	-2.14	0.10	13.50	0.89
-23.57	100.46	-52.70	-8.39	0.07	17.75	0.88
-23.57	101.59	-53.33	-8.08	0.07	18.00	0.88
-23.53	2.14	-39.40	-5.00	0.13	10.25	0.81
-23.35	112.48	-48.24	-16.42	0.07	22.25	0.71
-23.30	44.74	-46.72	-2.87	0.10	13.75	0.89
-23.29	-19.85	-26.34	-25.47	0.19	7.00	0.71
-23.25	13.15	-41.26	-3.59	0.13	10.50	0.82
-23.25	45.04	-46.72	-3.37	0.10	14.00	0.90
-23.24	110.73	-54.10	-16.45	0.07	22.50	0.69
-23.23	109.79	-52.74	-8.74	0.07	18.25	0.88
-23.22	109.79	-52.74	-8.77	0.07	18.50	0.88
-23.13	-4.86	-33.39	-16.05	0.16	8.50	0.77
-23.08	51.69	-47.27	-3.61	0.10	14.25	0.90
-23.04	112.34	-53.64	-8.90	0.07	18.75	0.88
-23.01	18.37	-42.45	-2.45	0.13	11.00	0.84
-22.94	-19.71	-22.14	-23.37	0.22	6.00	0.70
-22.94	17.50	-41.67	-2.48	0.13	10.75	0.83
-22.90	59.45	-47.69	-3.58	0.10	14.50	0.91
-22.84	-5.85	-33.49	-14.23	0.16	8.75	0.78
-22.81	112.34	-50.71	-9.76	0.07	19.00	0.87
-22.78	-13.33	-28.80	-23.00	0.19	7.25	0.74
-22.78	68.09	-48.94	-3.22	0.10	14.75	0.92
-22.76	112.69	-47.96	-15.79	0.07	22.00	0.71
-22.63	118.49	-50.43	-10.57	0.07	19.50	0.85
-22.62	116.12	-50.43	-9.95	0.07	19.25	0.86
-22.58	74.63	-48.68	-3.82	0.10	15.00	0.91
-22.58	-9.16	-30.81	-19.20	0.19	7.50	0.75
-22.53	118.42	-51.06	-14.69	0.07	21.50	0.74
-22.51	1.40	-35.70	-12.60	0.16	9.00	0.79
-22.49	25.51	-43.04	-1.71	0.13	11.25	0.86
-22.47	-15.84	-23.79	-21.84	0.22	6.25	0.71
-22.45	119.13	-48.78	-11.11	0.07	19.75	0.85
-22.32	118.42	-55.07	-14.50	0.07	21.75	0.72
-22.29	91.92	-50.17	-4.76	0.10	15.25	0.92
-22.29	1.80	-36.31	-10.13	0.16	9.25	0.81
-22.25	122.73	-49.00	-11.27	0.07	20.00	0.84
-22.22	123.81	-44.27	-13.34	0.07	21.00	0.77
-22.21	1.80	-36.31	-9.28	0.16	9.50	0.81
-22.09	126.73	-46.54	-13.93	0.07	21.25	0.76
-22.04	36.73	-45.27	-0.85	0.13	11.50	0.88
-22.02	-8.38	-26.39	-18.90	0.22	6.50	0.74
-22.02	121.46	-47.98	-12.13	0.07	20.25	0.81
-21.95	103.06	-50.30	-5.04	0.10	15.50	0.92
-21.95	-3.62	-32.53	-14.40	0.19	7.75	0.78
-21.74	116.21	-46.75	-12.74	0.07	20.50	0.78
-21.73	-6.31	-27.21	-16.80	0.22	6.75	0.75
-21.64	49.41	-46.73	-0.75	0.13	11.75	0.89
-21.57	121.62	-43.95	-13.34	0.07	20.75	0.76
-21.49	119.41	-51.50	-5.61	0.10	15.75	0.93
-21.47	56.44	-46.73	-0.90	0.13	12.00	0.90
-21.47	4.40	-35.02	-13.12	0.19	8.00	0.80
-21.46	58.62	-46.82	-1.07	0.13	12.25	0.90
-21.44	13.54	-37.03	-7.19	0.16	9.75	0.83
-21.36	116.58	-50.06	-6.31	0.10	16.00	0.92
-21.32	58.62	-46.82	-1.32	0.13	12.50	0.90
-21.30	9.88	-35.52	-10.28	0.19	8.25	0.81
-21.12	60.00	-46.40	-1.56	0.13	12.75	0.91
-21.07	-17.25	-16.62	-19.50	0.25	5.75	0.70
-21.04	-3.32	-28.72	-14.15	0.22	7.00	0.76
-21.03	62.95	-46.29	-2.19	0.13	13.00	0.91
-21.02	18.49	-38.17	-5.41	0.16	10.00	0.84
-20.80	121.64	-50.20	-6.96	0.10	16.25	0.88
-20.80	82.32	-47.14	-2.08	0.13	13.25	0.92
-20.75	27.10	-41.11	-3.41	0.16	10.25	0.86
-20.65	13.98	-36.04	-7.41	0.19	8.50	0.82
-20.64	129.80	-49.67	-6.45	0.10	16.50	0.88
-20.61	-5.48	-25.33	-15.53	0.25	6.00	0.75
-20.46	132.17	-48.39	-7.10	0.10	16.75	0.88
-20.44	131.96	-48.39	-6.98	0.10	17.00	0.88
-20.41	89.04	-47.21	-2.40	0.13	13.50	0.92
-20.38	9.30	-32.51	-11.11	0.22	7.25	0.79
-20.38	15.84	-36.22	-7.54	0.19	8.75	0.83
-20.29	39.47	-42.92	-3.42	0.16	10.50	0.87
-20.25	-0.53	-26.25	-12.73	0.25	6.25	0.76
-20.13	14.21	-33.73	-9.86	0.22	7.50	0.80
-20.11	92.95	-47.69	-2.81	0.13	13.75	0.93
-20.08	92.95	-47.57	-3.74	0.13	14.00	0.93
-20.05	129.43	-48.50	-7.86	0.10	17.25	0.81
-19.98	128.02	-48.72	-8.38	0.10	17.50	0.81
-19.96	50.15	-43.92	-1.48	0.16	10.75	0.88
-19.88	23.65	-39.22	-5.69	0.19	9.00	0.84
-19.86	99.47	-48.67	-3.93	0.13	14.25	0.93
-19.78	51.35	-44.33	-1.92	0.16	11.00	0.89
-19.62	114.14	-48.96	-3.84	0.13	14.50	0.93
-19.59	3.82	-29.26	-9.03	0.25	6.50	0.78
-19.58	28.11	-39.38	-5.14	0.19	9.25	0.85
-19.54	28.11	-39.38	-5.14	0.19	9.50	0.86
-19.53	-10.38	-18.53	-12.97	0.28	5.50	0.72
-19.38	123.79	-48.78	-8.74	0.10	17.75	0.80
-19.37	18.42	-34.58	-6.75	0.22	7.75	0.82
-19.31	122.61	-47.36	-9.05	0.10	18.00	0.79
-19.31	122.68	-49.34	-3.74	0.13	14.75	0.94
-19.30	10.38	-29.85	-7.63	0.25	6.75	0.79
-19.12	-8.70	-15.57	-12.91	0.31	4.75	0.70
-19.11	122.43	-47.29	-9.32	0.10	18.25	0.78
-19.10	65.32	-45.02	-2.43	0.16	11.25	0.90
-19.08	123.28	-49.12	-4.11	0.13	15.00	0.92
-19.06	122.43	-46.57	-9.70	0.10	18.50	0.78
-18.99	126.53	-42.70	-10.58	0.10	18.75	0.78
-18.97	-0.58	-19.59	-10.97	0.28	5.75	0.75
-18.88	39.30	-40.76	-1.84	0.19	9.75	0.88
-18.69	122.73	-37.85	-11.49	0.10	19.00	0.76
-18.65	16.72	-30.92	-5.82	0.25	7.00	0.81
-18.64	128.21	-50.32	-3.69	0.13	15.25	0.93
-18.61	80.47	-45.80	-1.43	0.16	11.50	0.92
-18.60	26.57	-36.68	-3.44	0.22	8.00	0.84
-18.54	120.17	-33.10	-12.74	0.10	19.25	0.73
-18.43	-8.01	-19.05	-9.23	0.31	5.00	0.71
-18.41	32.40	-37.32	-2.83	0.22	8.25	0.85
-18.38	119.34	-32.92	-13.47	0.10	19.50	0.72
-18.26	120.17	-28.33	-13.13	0.10	19.75	0.72
-18.22	135.34	-49.36	-3.69	0.13	15.50	0.91
-18.17	10.96	-27.27	-5.54	0.28	6.00	0.79
-18.17	90.26	-46.52	-0.48	0.16	11.75	0.93
-18.14	47.06	-40.81	-1.22	0.19	10.00	0.88
-17.96	120.17	-26.63	-13.55	0.10	20.00	0.70
-17.93	103.06	-47.37	-0.43	0.16	12.00	0.93
-17.92	-2.92	-19.33	-8.33	0.31	5.25	0.73
-17.90	109.44	-47.37	-0.43	0.16	12.25	0.94
-17.84	55.84	-42.49	-0.10	0.19	10.25	0.90
-17.79	109.44	-46.89	-0.87	0.16	12.50	0.93
-17.76	44.02	-37.32	-0.56	0.22	8.50	0.87
-17.75	26.62	-34.94	-2.36	0.25	7.25	0.83
-17.68	113.17	-46.89	-1.59	0.16	12.75	0.93
-17.56	12.80	-27.78	-3.75	0.28	6.25	0.80
-17.54	140.59	-47.44	-4.12	0.13	15.75	0.90
-17.51	117.27	-45.82	-1.67	0.16	13.00	0.93
-17.40	45.64	-37.45	0.19	0.22	8.75	0.87
-17.39	32.01	-35.62	-1.41	0.25	7.50	0.84
-17.33	72.51	-44.05	0.15	0.19	10.50	0.91
-17.24	2.79	-20.19	-5.02	0.31	5.50	0.76
-17.16	136.45	-42.41	-5.61	0.13	16.00	0.89
-17.05	124.08	-47.05	-1.24	0.16	13.25	0.94
-16.99	20.10	-32.26	-0.78	0.28	6.50	0.82
-16.98	75.78	-44.49	0.94	0.19	10.75	0.91
-16.96	50.20	-38.66	1.46	0.22	9.00	0.88
-16.93	2.16	-20.31	-6.14	0.34	4.75	0.74
-16.82	79.44	-44.67	0.58	0.19	11.00	0.92
-16.81	130.46	-46.41	-1.42	0.16	13.50	0.94
-16.69	128.64	-43.70	-5.13	0.13	16.25	0.81
-16.53	53.37	-40.04	1.39	0.22	9.25	0.89
-16.52	36.93	-36.42	-0.23	0.25	7.75	0.86
-16.52	24.13	-32.58	0.37	0.28	6.75	0.83
-16.46	131.13	-46.52	-1.90	0.16	13.75	0.93
-16.45	128.64	-42.02	-4.63	0.13	16.50	0.81
-16.45	0.51	-21.92	-6.59	0.37	4.25	0.69
-16.45	9.58	-23.04	-1.29	0.31	5.75	0.78
-16.41	53.37	-39.45	1.20	0.22	9.50	0.89
-16.39	126.73	-34.30	-6.35	0.13	16.75	0.80
-16.38	3.18	-22.89	-3.37	0.34	5.00	0.75
-16.34	130.46	-46.15	-1.80	0.16	14.00	0.93
-16.30	124.71	-34.30	-6.35	0.13	17.00	0.80
-16.09	132.24	-43.90	-1.99	0.16	14.25	0.93
-16.01	50.50	-38.50	2.48	0.25	8.00	0.88
-15.90	118.77	-34.16	-7.61	0.13	17.25	0.72
-15.85	8.80	-23.67	-1.06	0.34	5.25	0.77
-15.81	31.27	-33.17	1.32	0.28	7.00	0.84
-15.79	95.49	-44.04	0.15	0.19	11.25	0.92
-15.75	117.38	-34.30	-7.93	0.13	17.50	0.71
-15.74	133.43	-43.90	-0.87	0.16	14.50	0.93
-15.74	20.86	-30.49	1.25	0.31	6.00	0.82
-15.69	55.40	-39.31	3.43	0.25	8.25	0.88
-15.66	67.35	-40.98	1.97	0.22	9.75	0.90
-15.49	6.01	-22.16	-3.00	0.40	4.00	0.71
-15.39	114.69	-44.04	0.77	0.19	11.50	0.93
-15.37	6.10	-24.85	-2.46	0.37	4.50	0.71
-15.37	137.90	-42.72	-0.71	0.16	14.75	0.93
-15.34	28.55	-30.81	2.13	0.31	6.25	0.83
-15.19	15.17	-24.27	0.79	0.34	5.50	0.79
-15.09	133.16	-43.65	-1.58	0.16	15.00	0.90
-15.03	76.21	-40.04	2.18	0.22	10.00	0.91
-15.01	45.27	-35.11	2.85	0.28	7.25	0.86
-14.99	13.95	-24.78	0.41	0.37	4.75	0.77
-14.98	6.31	-23.99	-2.00	0.43	3.50	0.69
-14.97	136.68	-42.72	-1.42	0.16	15.25	0.90
-14.95	127.06	-44.67	1.05	0.19	11.75	0.94
-14.93	66.89	-39.31	4.11	0.25	8.50	0.89
-14.78	67.74	-38.62	4.20	0.25	8.75	0.90
-14.72	10.34	-25.15	-0.92	0.40	4.25	0.73
-14.71	85.17	-40.41	3.15	0.22	10.25	0.92
-14.69	50.86	-36.08	3.67	0.28	7.50	0.87
-14.64	131.38	-45.72	1.20	0.19	12.00	0.94
-14.64	131.73	-37.88	-3.34	0.16	15.50	0.86
-14.63	131.38	-45.72	1.36	0.19	12.25	0.94
-14.62	35.53	-34.00	3.79	0.31	6.50	0.85
-14.57	7.39	-24.06	0.90	0.43	3.75	0.70
-14.49	128.18	-45.17	1.15	0.19	12.50	0.94
-14.46	23.37	-26.55	2.31	0.34	5.75	0.81
-14.35	100.62	-43.15	3.16	0.22	10.50	0.92
-14.32	128.18	-45.11	1.15	0.19	12.75	0.94
-14.30	43.79	-34.35	4.17	0.31	6.75	0.86
-14.27	75.66	-38.72	4.63	0.25	9.00	0.90
-14.25	15.98	-25.46	2.61	0.37	5.00	0.78
-14.14	130.05	-33.74	-4.54	0.16	15.75	0.84
-14.00	108.68	-42.90	3.29	0.22	10.75	0.93
-13.99	130.37	-44.67	0.53	0.19	13.00	0.93
-13.81	112.09	-44.89	3.16	0.22	11.00	0.93
-13.80	81.05	-40.68	5.14	0.25	9.25	0.91
-13.78	81.05	-40.68	4.26	0.25	9.50	0.91
-13.77	57.89	-37.74	4.68	0.28	7.75	0.88
-13.67	129.45	-31.92	-5.29	0.16	16.00	0.82
-13.60	138.31	-44.47	1.36	0.19	13.25	0.93
-13.59	15.96	-26.75	3.79	0.43	4.00	0.75
-13.55	22.47	-24.99	2.35	0.37	5.25	0.79
-13.48	50.59	-33.99	3.24	0.31	7.00	0.86
-13.47	15.75	-27.52	2.10	0.40	4.50	0.74
-13.34	34.24	-32.47	5.78	0.34	6.00	0.85
-13.22	144.16	-43.98	1.24	0.19	13.50	0.93
-13.18	66.66	-38.59	5.64	0.28	8.00	0.89
-13.08	95.60	-41.96	4.64	0.25	9.75	0.92
-13.06	21.11	-26.88	4.31	0.40	4.75	0.80
-13.00	122.13	-29.95	-6.43	0.16	16.25	0.73
-12.96	144.16	-40.92	0.77	0.19	13.75	0.91
-12.95	70.16	-38.78	6.63	0.28	8.25	0.90
-12.93	142.32	-39.33	0.13	0.19	14.00	0.91
-12.88	28.21	-25.46	3.37	0.37	5.50	0.81
-12.87	14.99	-26.65	3.62	0.46	3.50	0.72
-12.83	120.49	-43.08	2.01	0.22	11.25	0.93
-12.79	17.84	-27.40	4.18	0.43	4.25	0.76
-12.76	42.04	-32.85	5.69	0.34	6.25	0.85
-12.68	121.07	-28.87	-6.87	0.16	16.50	0.73
-12.67	58.00	-36.35	4.46	0.31	7.25	0.88
-12.64	138.45	-34.09	0.18	0.19	14.25	0.90
-12.48	15.59	-27.28	4.56	0.46	3.75	0.73
-12.45	119.48	-20.55	-9.24	0.16	17.00	0.71
-12.44	119.48	-20.55	-9.22	0.16	16.75	0.71
-12.35	132.56	-42.91	2.63	0.22	11.50	0.93
-12.34	69.84	-37.37	5.80	0.31	7.50	0.89
-12.32	99.61	-41.16	4.54	0.25	10.00	0.92
-12.24	140.69	-34.09	0.18	0.19	14.50	0.90
-12.19	24.25	-27.07	4.06	0.40	5.00	0.81
-12.15	30.19	-25.68	4.73	0.37	5.75	0.83
-12.05	52.15	-34.34	6.40	0.34	6.50	0.87
-12.02	108.40	-41.96	4.04	0.25	10.25	0.92
-12.01	138.84	-42.16	2.63	0.22	11.75	0.93
-11.99	80.29	-38.78	7.18	0.28	8.50	0.91
-11.95	142.67	-32.71	-0.32	0.19	14.75	0.89
-11.76	85.59	-38.59	7.44	0.28	8.75	0.91
-11.72	131.73	-32.80	-1.39	0.19	15.00	0.86
-11.69	59.06	-35.22	7.19	0.34	6.75	0.88
-11.65	20.40	-28.89	8.81	0.46	4.00	0.77
-11.63	26.09	-28.86	5.69	0.43	4.50	0.77
-11.60	142.21	-43.05	3.28	0.22	12.00	0.93
-11.57	142.21	-43.05	3.49	0.22	12.25	0.93
-11.52	31.82	-26.40	2.61	0.40	5.25	0.82
-11.39	77.64	-39.46	7.84	0.31	7.75	0.90
-11.35	124.59	-42.40	4.92	0.25	10.50	0.92
-11.34	141.84	-39.84	3.07	0.22	12.50	0.93
-11.32	25.37	-27.10	7.41	0.49	3.50	0.75
-11.26	96.73	-38.59	6.96	0.28	9.00	0.91
-11.26	128.97	-32.71	-1.49	0.19	15.25	0.85
-11.13	142.25	-39.84	3.49	0.22	12.75	0.92
-11.11	2.72	-23.37	-0.69	0.61	1.75	0.70
-11.09	49.32	-33.18	7.58	0.37	6.00	0.86
-11.01	32.72	-29.04	6.36	0.43	4.75	0.82
-10.95	127.75	-41.16	5.46	0.25	10.75	0.92
-10.89	39.74	-26.62	5.89	0.40	5.50	0.83
-10.81	138.84	-35.85	2.28	0.22	13.00	0.91
-10.81	104.79	-38.59	6.94	0.28	9.25	0.91
-10.80	25.74	-27.32	7.94	0.49	3.75	0.75
-10.80	130.60	-40.80	5.61	0.25	11.00	0.92
-10.79	128.87	-29.55	-3.17	0.19	15.50	0.80
-10.78	23.56	-29.18	8.90	0.46	4.25	0.78
-10.74	104.79	-38.52	5.52	0.28	9.50	0.91
-10.68	63.07	-34.34	7.19	0.34	7.00	0.87
-10.67	86.16	-39.60	8.82	0.31	8.00	0.91
-10.49	53.14	-34.36	6.48	0.37	6.25	0.87
-10.48	95.63	-39.46	7.98	0.31	8.25	0.91
-10.40	153.67	-35.18	1.80	0.22	13.25	0.91
-10.14	32.97	-29.14	4.70	0.43	5.00	0.82
-10.14	21.28	-27.81	6.45	0.52	3.00	0.69
-10.13	-5.69	-9.55	-10.74	0.88	-1.50	0.69
-10.11	19.41	-27.29	6.98	0.55	2.50	0.70
-10.10	153.86	-34.15	1.47	0.22	13.50	0.90
-10.10	127.70	-21.20	-5.96	0.19	15.75	0.78
-10.06	45.45	-27.96	6.56	0.40	5.75	0.85
-10.04	117.25	-38.78	5.52	0.28	9.75	0.92
-9.88	66.50	-36.11	7.38	0.37	6.50	0.88
-9.85	75.39	-37.16	8.80	0.34	7.25	0.89
-9.83	132.30	-40.14	6.01	0.25	11.25	0.92
-9.82	26.41	-27.81	6.45	0.52	3.25	0.70
-9.81	33.66	-26.49	7.94	0.49	4.00	0.79
-9.79	153.83	-31.44	1.11	0.22	13.75	0.88
-9.69	105.66	-38.59	7.84	0.31	8.50	0.91
-9.68	5.43	-20.97	-0.51	0.64	1.50	0.69
-9.58	120.77	-18.66	-7.17	0.19	16.00	0.76
-9.57	141.03	-30.93	0.73	0.22	14.00	0.88
-9.55	43.15	-29.08	5.12	0.43	5.25	0.83
-9.55	31.98	-29.66	7.40	0.46	4.50	0.79
-9.53	32.88	-28.15	7.44	0.52	3.50	0.77
-9.49	70.25	-36.11	8.82	0.37	6.75	0.88
-9.46	81.28	-38.21	9.79	0.34	7.50	0.89
-9.42	119.87	-38.22	5.37	0.28	10.00	0.91
-9.42	9.74	-20.96	0.31	0.64	1.75	0.71
-9.27	143.61	-37.20	5.29	0.25	11.50	0.92
-9.26	108.93	-38.49	7.89	0.31	8.75	0.91
-9.21	-8.06	-9.15	-10.07	0.91	-2.00	0.69
-9.18	23.90	-27.59	8.77	0.55	2.75	0.71
-9.12	138.27	-24.72	0.46	0.22	14.25	0.86
-9.02	33.69	-27.75	7.44	0.52	3.75	0.77
-9.02	127.84	-38.22	5.53	0.28	10.25	0.92
-9.00	36.77	-28.47	9.27	0.49	4.25	0.80
-8.88	48.56	-29.04	7.79	0.43	5.50	0.85
-8.87	42.07	-29.42	7.86	0.46	4.75	0.83
-8.87	62.40	-34.41	10.69	0.40	6.00	0.87
-8.84	135.74	-24.72	-0.77	0.22	14.50	0.86
-8.83	153.26	-36.52	4.20	0.25	11.75	0.91
-8.72	97.12	-38.34	10.56	0.34	7.75	0.90
-8.71	118.49	-38.18	7.36	0.31	9.00	0.91
-8.62	31.02	-27.59	9.48	0.55	3.00	0.72
-8.56	73.96	-36.11	9.59	0.37	7.00	0.88
-8.39	157.56	-36.40	4.73	0.25	12.00	0.91
-8.37	157.56	-36.40	4.88	0.25	12.25	0.91
-8.36	135.04	-21.26	-0.13	0.22	14.75	0.85
