Mean	Edge	Peak	median	beta	SINR	Fairness
1.74	85.29	-12.36	6.82	0.61	5.00	0.80
1.74	97.63	15.32	-16.06	0.28	15.75	0.60
1.78	121.18	-16.27	6.11	0.43	9.25	0.83
1.87	87.06	69.81	-27.34	0.22	20.50	0.28
1.89	127.15	-15.63	4.61	0.46	8.25	0.84
1.91	84.00	33.56	-22.56	0.25	17.75	0.40
1.93	81.40	-11.71	4.50	0.64	4.50	0.79
1.94	67.72	-7.14	0.51	0.73	2.75	0.75
1.95	120.49	-2.91	-1.94	0.34	12.75	0.77
1.97	117.45	-15.38	5.97	0.43	9.50	0.82
2.01	8.17	1.45	-0.35	0.97	-0.25	0.69
2.05	110.55	9.11	-9.91	0.31	14.50	0.71
2.11	117.41	-14.29	2.87	0.40	10.25	0.81
2.11	114.69	-16.63	6.18	0.49	7.50	0.83
2.12	112.04	-8.37	2.13	0.37	11.25	0.79
2.17	102.51	-12.05	8.67	0.55	6.25	0.82
2.21	82.98	38.00	-23.06	0.25	18.00	0.39
2.22	83.63	-10.03	5.39	0.67	4.25	0.79
2.26	70.87	-9.73	1.08	0.70	3.75	0.77
2.27	96.22	27.71	-17.10	0.28	16.00	0.57
2.31	1.52	4.14	2.86	1.00	-1.00	0.68
2.37	114.41	-2.18	-3.29	0.34	13.00	0.76
2.43	106.86	11.13	-10.80	0.31	14.75	0.69
2.45	82.92	107.40	-27.97	0.22	20.75	0.26
2.52	93.37	-12.53	7.79	0.58	5.75	0.81
2.65	11.65	3.77	0.65	0.91	0.75	0.70
2.67	34.49	1.27	-0.88	0.85	1.50	0.72
2.79	84.85	-11.41	7.07	0.61	5.25	0.80
2.79	105.23	-14.30	7.09	0.52	7.00	0.81
2.80	84.41	39.26	-23.64	0.25	18.25	0.37
2.84	68.34	-7.51	1.85	0.73	3.00	0.75
2.86	84.41	43.26	-24.25	0.25	18.50	0.37
2.87	63.60	-4.70	-0.76	0.76	2.50	0.74
2.87	123.88	-14.39	4.56	0.46	8.50	0.82
2.95	112.04	-6.15	-0.90	0.37	11.50	0.78
2.95	82.82	52.99	-25.39	0.25	18.75	0.37
2.99	87.93	-11.31	6.44	0.64	4.75	0.80
3.00	111.65	1.33	-7.33	0.34	13.25	0.74
3.09	103.27	10.96	-12.09	0.31	15.00	0.65
3.12	47.43	-2.30	-1.74	0.79	2.25	0.73
3.13	57.40	-65.18	-35.98	0.28	22.50	0.14
3.14	25.56	2.12	0.14	0.88	1.00	0.71
3.16	119.64	-12.47	1.52	0.40	10.50	0.79
3.17	40.66	-0.96	0.92	0.82	2.00	0.72
3.18	68.62	-6.46	2.77	0.73	3.25	0.75
3.18	121.55	-14.40	6.47	0.49	7.75	0.82
3.22	58.46	120.94	-35.64	0.28	22.25	0.15
3.25	112.04	-11.35	6.09	0.55	6.50	0.81
3.29	78.10	-7.48	1.32	0.70	4.00	0.77
3.31	94.08	29.40	-18.95	0.28	16.25	0.48
3.32	14.78	5.70	2.17	0.94	0.25	0.69
3.35	34.77	2.11	1.00	0.85	1.75	0.72
3.40	71.06	61.25	-32.33	0.25	21.50	0.20
3.44	120.29	-10.34	4.27	0.43	9.75	0.81
3.45	120.63	-13.82	3.91	0.46	8.75	0.82
3.52	2.44	4.17	2.43	0.97	0.00	0.69
3.58	106.22	2.52	-8.62	0.34	13.50	0.72
3.61	92.84	29.40	-19.85	0.28	16.50	0.47
3.62	82.06	61.53	-26.07	0.25	19.00	0.35
3.65	117.59	-7.75	0.82	0.40	10.75	0.79
3.69	103.82	11.13	-14.00	0.31	15.25	0.63
3.70	79.02	-6.20	0.41	0.73	3.50	0.76
3.72	109.58	-3.00	-3.41	0.37	11.75	0.76
3.80	22.70	3.70	1.60	0.88	1.25	0.71
3.80	9.65	5.97	3.17	0.94	0.50	0.69
3.81	94.15	-10.37	7.90	0.61	5.50	0.79
3.82	98.48	-10.01	6.20	0.58	6.00	0.80
3.86	70.09	61.81	-32.43	0.25	21.75	0.19
3.95	110.02	-11.35	3.89	0.55	6.75	0.81
4.00	112.64	-11.71	3.98	0.46	9.00	0.81
4.01	82.73	-6.50	3.86	0.67	4.50	0.77
4.03	83.77	-9.70	5.73	0.64	5.00	0.79
4.07	106.59	-12.33	6.38	0.52	7.25	0.80
4.10	116.67	-12.79	3.98	0.49	8.00	0.81
4.11	87.45	47.49	-22.12	0.28	16.75	0.45
4.16	111.93	-4.94	0.41	0.40	11.00	0.78
4.19	85.06	47.49	-22.22	0.28	17.00	0.45
4.21	109.07	-1.27	-4.57	0.37	12.00	0.75
4.21	103.80	7.78	-10.16	0.34	13.75	0.70
4.29	109.07	-1.27	-5.87	0.37	12.25	0.75
4.35	71.82	-3.35	-2.31	0.76	2.75	0.74
4.41	76.97	-6.20	1.48	0.73	3.75	0.76
4.43	111.67	-9.00	2.71	0.43	10.00	0.79
4.50	115.80	-12.39	5.21	0.49	8.25	0.81
4.52	103.68	13.32	-10.87	0.34	14.00	0.69
4.55	81.53	81.20	-27.25	0.25	19.25	0.33
4.58	82.25	-5.44	3.51	0.70	4.25	0.77
4.61	108.04	-11.74	5.40	0.52	7.50	0.80
4.63	106.82	-10.65	2.95	0.46	9.25	0.80
4.66	112.87	4.54	-5.37	0.37	12.50	0.74
4.67	96.87	-7.42	7.60	0.61	5.75	0.79
4.70	92.75	20.51	-16.51	0.31	15.50	0.58
4.75	27.77	5.13	1.99	0.88	1.50	0.71
4.77	100.78	-8.63	6.60	0.58	6.25	0.79
4.87	71.13	124.77	-30.78	0.25	21.00	0.23
4.88	61.64	-0.76	-1.08	0.79	2.50	0.73
4.91	85.93	-8.30	6.20	0.64	5.25	0.78
4.93	84.78	49.20	-23.27	0.28	17.25	0.39
4.95	80.41	85.25	-27.74	0.25	19.50	0.31
4.95	110.29	-7.93	0.88	0.43	10.25	0.78
4.97	99.63	20.43	-12.52	0.34	14.25	0.67
5.01	85.19	-6.42	4.85	0.67	4.75	0.77
5.02	0.30	7.24	2.78	0.94	0.75	0.69
5.08	78.38	90.37	-27.75	0.25	19.75	0.31
5.10	111.63	4.54	-7.29	0.37	12.75	0.73
5.17	70.60	-2.46	-0.63	0.76	3.00	0.74
5.18	113.82	-8.31	3.79	0.46	9.50	0.79
5.20	11.14	5.62	4.64	0.91	1.00	0.70
5.21	99.08	-10.10	4.57	0.55	7.00	0.79
5.21	74.26	101.26	-30.81	0.25	21.25	0.22
5.22	80.08	46.86	-23.48	0.28	17.50	0.38
5.23	41.31	1.57	-0.29	0.82	2.25	0.72
5.31	32.58	4.27	0.46	0.85	2.00	0.71
5.32	25.72	5.05	0.84	0.88	1.75	0.71
5.38	77.62	92.02	-28.39	0.25	20.00	0.30
5.42	97.03	20.43	-14.23	0.34	14.50	0.66
5.45	106.17	-0.61	-1.20	0.40	11.25	0.75
5.52	101.93	7.03	-7.47	0.37	13.00	0.71
5.56	101.08	-7.49	4.13	0.58	6.50	0.79
5.63	79.69	-3.46	1.47	0.73	4.00	0.76
5.65	109.67	-8.99	5.29	0.52	7.75	0.79
5.70	81.28	29.89	-19.20	0.31	15.75	0.55
5.77	69.74	-2.16	1.20	0.76	3.25	0.74
5.78	109.49	-7.69	4.62	0.49	8.50	0.79
5.81	9.58	7.17	4.45	0.91	1.25	0.69
5.82	60.10	126.42	-35.50	0.28	22.00	0.15
5.90	79.44	91.81	-29.05	0.25	20.25	0.27
6.05	59.73	0.72	-0.64	0.79	2.75	0.73
6.06	104.63	-4.75	-0.53	0.43	10.50	0.76
6.07	93.53	22.13	-14.27	0.34	14.75	0.65
6.13	84.14	-5.62	8.83	0.64	5.50	0.77
6.19	104.81	-6.61	4.61	0.49	8.75	0.79
6.20	71.89	-2.26	2.65	0.76	3.50	0.75
6.26	96.87	-5.33	4.34	0.61	6.00	0.78
6.30	101.11	-7.33	4.16	0.55	7.25	0.78
6.32	82.43	-3.60	4.42	0.67	5.00	0.76
6.36	82.11	-2.26	1.71	0.70	4.50	0.76
6.36	95.19	-7.29	4.76	0.58	6.75	0.78
6.37	79.12	49.94	-25.95	0.28	17.75	0.36
6.37	111.56	-5.37	2.09	0.46	9.75	0.78
6.39	102.16	1.26	-3.92	0.40	11.50	0.74
6.39	75.69	97.12	-29.94	0.25	20.50	0.25
6.40	100.58	10.03	-10.63	0.37	13.25	0.70
6.45	83.44	40.06	-20.46	0.31	16.00	0.52
6.63	96.98	22.94	-16.11	0.34	15.00	0.61
6.72	81.21	-1.58	1.08	0.73	4.25	0.75
6.72	66.80	-1.14	3.76	0.76	3.75	0.74
6.74	103.73	1.14	-1.79	0.43	10.75	0.75
6.77	105.41	-7.20	3.59	0.52	8.00	0.78
6.79	78.86	59.02	-26.71	0.28	18.00	0.35
6.84	61.46	0.61	0.25	0.79	3.00	0.73
6.94	47.27	2.95	0.95	0.82	2.50	0.72
6.95	99.08	12.65	-12.97	0.37	13.50	0.68
7.02	97.97	-4.28	2.86	0.49	9.00	0.78
7.03	7.81	9.18	5.11	0.91	1.50	0.69
7.06	100.69	-6.04	4.15	0.55	7.50	0.78
7.10	49.69	-65.73	-38.89	0.31	22.50	0.13
7.10	49.87	133.47	-38.55	0.31	22.25	0.13
7.12	73.54	140.00	-30.73	0.25	20.75	0.22
7.14	82.43	-3.21	5.42	0.67	5.25	0.76
7.16	21.60	8.44	4.55	0.88	2.00	0.70
7.16	103.68	2.44	-2.89	0.43	11.00	0.74
7.18	90.65	24.62	-17.86	0.34	15.25	0.59
7.19	94.29	-4.01	4.62	0.61	6.25	0.77
7.22	102.99	-5.96	3.96	0.52	8.25	0.78
7.29	101.01	-3.42	-0.54	0.46	10.00	0.76
7.34	32.30	5.12	0.01	0.85	2.25	0.71
7.40	88.53	-2.47	6.76	0.64	5.75	0.77
7.40	80.11	62.93	-27.08	0.28	18.25	0.34
7.45	100.12	7.23	-7.50	0.40	11.75	0.72
7.46	76.26	64.08	-27.64	0.28	18.50	0.34
7.48	3.11	9.92	5.52	0.91	1.75	0.69
7.49	55.26	1.33	0.90	0.79	3.25	0.72
7.66	80.41	-1.39	4.03	0.70	4.75	0.76
7.71	96.98	19.84	-14.59	0.37	13.75	0.66
7.77	74.76	42.79	-24.04	0.31	16.50	0.42
7.81	77.57	42.05	-22.71	0.31	16.25	0.43
7.81	96.62	6.81	-9.05	0.40	12.00	0.71
7.83	77.50	74.89	-27.72	0.28	18.75	0.33
7.93	61.32	79.97	-34.58	0.28	21.50	0.17
7.96	96.62	6.81	-9.58	0.40	12.25	0.71
7.96	88.19	-4.84	3.76	0.58	7.00	0.76
7.98	97.79	-3.83	1.93	0.49	9.25	0.77
8.00	90.38	22.92	-14.32	0.37	14.00	0.65
8.05	56.04	2.02	5.10	0.79	3.50	0.73
8.12	44.30	4.28	3.17	0.82	2.75	0.71
8.16	92.45	-2.49	4.20	0.61	6.50	0.77
8.18	62.97	0.18	6.37	0.76	4.00	0.74
8.23	59.18	80.75	-34.93	0.28	21.75	0.16
8.25	91.64	-2.15	2.48	0.55	7.75	0.77
8.27	98.13	12.56	-9.83	0.40	12.50	0.70
8.33	81.95	31.04	-21.20	0.34	15.50	0.53
8.36	98.71	-1.11	-2.51	0.46	10.25	0.75
8.38	101.08	-2.33	2.13	0.49	9.50	0.76
8.40	78.13	77.99	-28.21	0.28	19.00	0.32
8.41	72.55	0.73	2.29	0.73	4.50	0.74
8.45	79.53	-1.69	5.94	0.67	5.50	0.75
8.46	74.07	66.60	-25.86	0.31	16.75	0.41
8.52	97.81	-1.86	3.61	0.52	8.50	0.77
8.54	73.73	66.60	-25.90	0.31	17.00	0.41
8.71	88.10	31.56	-15.78	0.37	14.25	0.63
8.75	94.64	13.19	-11.19	0.40	12.75	0.69
8.83	84.00	-0.06	3.92	0.64	6.00	0.76
8.83	97.49	6.01	-5.90	0.43	11.25	0.72
8.90	45.73	2.42	6.57	0.79	3.75	0.72
8.94	90.10	-1.81	4.41	0.61	6.75	0.76
9.04	96.04	-1.31	3.91	0.52	8.75	0.76
9.13	33.76	7.52	3.50	0.85	2.50	0.71
9.13	73.27	105.72	-30.04	0.28	19.25	0.29
9.14	38.20	5.12	4.36	0.82	3.00	0.71
9.15	76.84	1.26	4.50	0.70	5.00	0.74
9.17	93.60	15.16	-11.70	0.40	13.00	0.67
9.18	87.11	-0.58	3.47	0.58	7.25	0.75
9.19	91.23	-1.17	2.50	0.55	8.00	0.76
9.20	93.83	0.55	-0.98	0.49	9.75	0.74
9.21	66.06	1.50	5.04	0.76	4.25	0.73
9.32	86.78	31.56	-17.92	0.37	14.50	0.62
9.32	14.58	9.68	5.71	0.88	2.25	0.70
9.43	69.93	107.35	-30.47	0.28	19.50	0.28
9.43	71.29	65.30	-26.63	0.31	17.25	0.35
9.49	94.08	0.46	-4.36	0.46	10.50	0.73
9.68	75.04	62.08	-27.27	0.31	17.50	0.35
9.72	36.40	4.93	3.83	0.82	3.25	0.71
9.74	64.01	2.03	5.05	0.73	4.75	0.73
9.81	78.91	43.14	-24.07	0.34	15.75	0.50
9.82	87.31	0.63	3.69	0.55	8.25	0.75
9.82	62.45	161.16	-33.00	0.28	21.00	0.20
9.83	81.86	0.32	2.28	0.58	7.50	0.75
9.89	73.84	116.84	-30.95	0.28	19.75	0.28
9.90	52.77	149.36	-38.21	0.31	22.00	0.13
9.91	82.57	31.98	-18.79	0.37	14.75	0.61
9.94	79.65	1.44	6.33	0.64	6.25	0.75
9.94	74.83	2.36	7.68	0.67	5.75	0.74
9.94	97.67	11.36	-9.27	0.43	11.50	0.70
9.96	91.18	18.89	-14.33	0.40	13.25	0.66
10.04	66.36	1.61	4.82	0.70	5.25	0.74
10.05	93.46	1.19	3.70	0.52	9.00	0.75
10.13	65.81	120.02	-33.75	0.28	21.25	0.19
10.14	90.81	5.25	-5.94	0.46	10.75	0.72
10.24	88.14	3.23	-1.74	0.49	10.00	0.72
10.32	33.94	5.17	5.66	0.82	3.50	0.71
10.33	39.24	3.97	7.06	0.79	4.00	0.72
10.50	79.32	1.93	2.97	0.61	7.00	0.74
10.52	71.86	114.98	-31.13	0.28	20.00	0.27
10.58	24.52	9.91	7.53	0.85	2.75	0.70
10.60	89.68	9.81	-6.64	0.46	11.00	0.71
10.61	79.25	52.59	-24.86	0.34	16.00	0.48
10.64	90.70	14.79	-11.66	0.43	11.75	0.69
10.76	88.05	22.45	-16.37	0.40	13.50	0.64
10.77	80.13	34.30	-19.59	0.37	15.00	0.56
10.84	91.14	4.22	2.45	0.52	9.25	0.74
10.92	75.27	2.82	6.26	0.64	6.50	0.74
11.05	70.83	117.31	-31.66	0.28	20.25	0.24
11.07	47.99	168.78	-40.95	0.34	22.25	0.12
11.11	55.91	4.67	5.64	0.73	5.00	0.72
11.12	85.82	4.65	-5.49	0.49	10.25	0.72
11.14	87.93	4.22	1.96	0.52	9.50	0.73
11.15	73.04	75.28	-29.28	0.31	18.00	0.32
11.18	61.62	5.43	6.35	0.70	5.50	0.73
11.20	73.41	66.89	-28.67	0.31	17.75	0.32
11.21	48.68	-67.35	-41.18	0.34	22.50	0.11
11.23	78.26	2.95	2.09	0.58	7.75	0.74
11.24	62.88	117.52	-32.38	0.28	20.50	0.22
11.27	86.30	5.25	3.27	0.55	8.50	0.74
11.28	51.12	5.66	5.91	0.76	4.50	0.72
11.28	23.60	5.89	8.02	0.82	3.75	0.71
11.32	10.25	11.12	8.37	0.88	2.50	0.69
11.38	89.80	16.55	-14.13	0.43	12.00	0.68
11.39	76.70	34.79	-21.99	0.37	15.25	0.55
11.44	18.93	9.60	7.82	0.85	3.00	0.70
11.46	70.57	5.25	6.13	0.67	6.00	0.73
11.49	84.00	28.47	-17.67	0.40	13.75	0.62
11.51	89.80	16.55	-14.23	0.43	12.25	0.68
11.56	38.29	6.37	8.35	0.79	4.25	0.72
11.74	82.52	34.01	-18.62	0.40	14.00	0.61
11.76	77.02	53.53	-26.96	0.34	16.25	0.39
11.83	73.96	2.95	5.22	0.64	6.75	0.74
11.88	85.75	15.56	-9.43	0.46	11.25	0.68
11.95	88.21	22.09	-14.23	0.43	12.50	0.67
11.97	88.83	6.35	2.90	0.55	8.75	0.73
12.05	71.47	2.92	3.78	0.61	7.25	0.73
12.07	16.14	9.91	9.55	0.85	3.25	0.69
12.11	68.29	78.92	-30.28	0.31	18.50	0.30
12.13	71.77	77.92	-29.98	0.31	18.25	0.30
12.17	60.56	172.95	-33.14	0.28	20.75	0.20
12.22	58.78	6.92	5.84	0.70	5.75	0.72
12.23	72.60	58.14	-27.85	0.34	16.50	0.39
12.29	86.88	24.05	-14.64	0.43	12.75	0.66
12.33	80.45	8.31	-8.23	0.49	10.50	0.70
12.38	53.81	101.08	-37.23	0.31	21.50	0.16
12.39	76.08	41.91	-19.46	0.40	14.25	0.59
12.43	53.74	5.50	9.37	0.73	5.25	0.72
12.46	47.96	7.16	9.22	0.76	4.75	0.72
12.52	76.54	5.37	2.60	0.58	8.00	0.73
12.54	67.33	88.24	-30.53	0.31	18.75	0.30
12.58	15.82	9.04	11.75	0.85	3.50	0.70
12.62	75.78	45.24	-25.01	0.37	15.50	0.49
12.62	68.64	5.77	8.71	0.67	6.25	0.73
12.63	86.46	7.96	-3.56	0.52	9.75	0.71
12.65	0.39	12.56	10.18	0.88	2.75	0.68
12.76	22.93	8.31	9.96	0.82	4.00	0.70
12.77	79.92	8.00	2.61	0.55	9.00	0.72
12.85	55.33	100.59	-37.58	0.31	21.75	0.15
12.86	69.68	80.53	-29.18	0.34	16.75	0.37
12.90	70.96	5.81	2.73	0.61	7.50	0.72
12.94	72.28	79.08	-29.28	0.34	17.00	0.37
12.94	80.70	41.41	-21.36	0.40	14.50	0.58
12.97	82.55	10.74	-9.70	0.49	10.75	0.69
13.03	86.44	20.85	-13.77	0.46	11.50	0.67
13.13	86.39	26.63	-15.52	0.43	13.00	0.64
13.16	69.12	100.83	-31.33	0.31	19.00	0.29
13.26	77.25	8.09	2.80	0.58	8.25	0.72
13.35	59.48	7.37	6.25	0.64	7.00	0.71
13.42	75.36	16.51	-11.38	0.49	11.00	0.68
13.44	9.16	9.91	14.42	0.85	3.75	0.69
13.68	73.77	9.65	-6.04	0.52	10.00	0.70
13.68	29.70	10.05	9.39	0.79	4.50	0.70
13.71	74.97	8.67	1.15	0.55	9.25	0.71
13.72	72.51	47.49	-22.58	0.40	14.75	0.57
13.72	42.44	10.38	9.37	0.76	5.00	0.70
13.73	80.41	29.98	-20.17	0.43	13.25	0.62
13.78	62.22	8.60	9.77	0.67	6.50	0.72
13.82	74.05	54.01	-27.56	0.37	15.75	0.47
13.85	66.01	79.03	-30.51	0.34	17.25	0.32
13.86	50.06	10.82	9.97	0.73	5.50	0.71
13.88	17.59	10.66	12.55	0.82	4.25	0.70
13.91	77.53	23.84	-16.32	0.46	11.75	0.65
13.95	72.14	10.53	-0.85	0.55	9.50	0.70
13.98	66.98	126.98	-32.70	0.31	19.25	0.26
14.18	74.51	33.60	-22.39	0.43	13.50	0.61
14.18	64.79	9.12	2.80	0.61	7.75	0.71
14.22	64.20	76.25	-30.91	0.34	17.50	0.31
14.29	53.58	8.96	7.92	0.70	6.00	0.71
14.37	47.82	175.51	-40.67	0.34	22.00	0.12
14.45	67.23	47.49	-24.18	0.40	15.00	0.53
14.57	75.66	25.21	-19.33	0.46	12.00	0.64
14.57	76.15	10.69	2.60	0.58	8.50	0.71
14.63	40.76	176.67	-43.69	0.37	22.25	0.11
14.64	65.58	130.02	-33.18	0.31	19.50	0.25
14.65	74.40	11.88	-11.17	0.52	10.25	0.69
14.66	33.87	9.99	14.13	0.76	5.25	0.70
14.69	59.84	8.02	9.96	0.67	6.75	0.71
14.70	75.66	25.21	-20.15	0.46	12.25	0.64
14.71	72.14	68.82	-29.10	0.37	16.00	0.44
14.75	55.35	190.95	-36.13	0.31	21.00	0.18
14.75	63.37	137.10	-33.44	0.31	19.75	0.25
14.89	56.62	145.58	-36.25	0.31	21.25	0.17
14.91	57.82	8.52	7.42	0.64	7.25	0.70
14.92	27.81	11.54	12.09	0.79	4.75	0.70
14.98	2.28	13.32	17.25	0.85	4.00	0.68
15.01	40.25	-68.00	-43.79	0.37	22.50	0.10
15.04	69.12	38.13	-24.61	0.43	13.75	0.58
15.07	71.89	29.49	-20.76	0.46	12.50	0.63
15.15	75.11	20.73	-14.82	0.49	11.25	0.65
15.20	69.70	11.91	1.98	0.58	8.75	0.70
15.24	59.80	137.10	-33.84	0.31	20.00	0.24
15.26	48.26	13.21	10.77	0.73	5.75	0.70
15.30	68.94	17.02	-6.36	0.55	9.75	0.69
15.34	63.07	47.81	-25.65	0.40	15.25	0.51
15.44	68.80	42.42	-24.71	0.43	14.00	0.57
15.48	60.88	82.88	-31.77	0.34	17.75	0.29
15.50	73.82	33.14	-20.25	0.46	12.75	0.62
15.51	50.50	11.60	12.19	0.70	6.25	0.70
15.62	60.56	137.58	-34.69	0.31	20.25	0.21
15.75	72.48	14.35	-14.76	0.52	10.50	0.67
15.77	64.79	11.30	4.78	0.61	8.00	0.70
15.80	63.16	94.81	-33.15	0.34	18.00	0.29
15.93	57.73	13.19	10.28	0.64	7.50	0.70
15.98	12.34	13.16	15.07	0.82	4.50	0.68
15.99	0.99	14.78	18.37	0.85	4.25	0.68
16.12	19.85	13.61	13.49	0.79	5.00	0.69
16.14	51.67	12.63	11.59	0.67	7.00	0.69
16.20	61.69	68.50	-30.21	0.37	16.25	0.36
16.22	62.40	12.99	5.42	0.61	8.25	0.70
16.23	60.81	142.56	-35.37	0.31	20.50	0.20
16.23	72.48	27.25	-18.06	0.49	11.50	0.64
16.24	33.06	14.36	10.97	0.76	5.50	0.69
16.25	64.24	14.61	0.92	0.58	9.00	0.69
16.25	64.38	52.29	-25.65	0.43	14.25	0.56
16.42	57.89	57.16	-28.83	0.40	15.50	0.46
16.42	67.49	34.42	-21.82	0.46	13.00	0.60
16.52	63.99	98.35	-34.13	0.34	18.50	0.28
16.57	71.24	20.39	-15.45	0.52	10.75	0.66
16.58	62.40	18.08	-9.58	0.55	10.00	0.67
16.58	62.19	94.94	-33.12	0.34	18.25	0.28
16.78	61.69	73.94	-30.64	0.37	16.50	0.36
16.87	49.21	120.31	-39.63	0.34	21.50	0.14
16.90	63.41	52.62	-26.98	0.43	14.50	0.55
16.92	47.16	13.60	13.22	0.70	6.50	0.69
16.97	61.87	105.45	-33.77	0.34	18.75	0.27
17.09	64.63	16.92	-2.75	0.58	9.25	0.68
17.12	38.08	15.80	16.29	0.73	6.00	0.69
17.21	58.42	198.35	-35.92	0.31	20.75	0.18
17.21	56.71	14.84	10.39	0.64	7.75	0.69
17.21	70.23	23.94	-16.80	0.52	11.00	0.65
17.32	63.46	16.92	-4.58	0.58	9.50	0.68
17.35	49.30	119.87	-39.82	0.34	21.75	0.13
17.36	71.68	31.81	-23.00	0.49	11.75	0.62
17.39	14.21	14.79	14.29	0.79	5.25	0.68
17.46	68.04	36.73	-24.77	0.46	13.25	0.59
17.47	60.17	97.89	-31.80	0.37	17.00	0.34
17.51	59.18	99.02	-32.14	0.37	16.75	0.34
17.54	7.87	15.87	17.82	0.82	4.75	0.68
17.57	63.37	20.81	-12.17	0.55	10.25	0.66
17.61	60.00	15.87	6.08	0.61	8.50	0.68
17.62	45.11	13.60	14.56	0.70	6.75	0.69
17.72	62.84	54.63	-27.52	0.43	14.75	0.53
17.74	26.92	17.44	15.16	0.76	5.75	0.68
17.80	49.69	14.49	10.77	0.67	7.25	0.68
17.87	58.95	119.81	-34.63	0.34	19.00	0.26
18.10	56.83	68.82	-30.51	0.40	15.75	0.43
18.12	37.78	17.55	18.24	0.73	6.25	0.68
18.19	69.26	45.89	-25.70	0.46	13.50	0.58
18.35	32.70	208.54	-46.29	0.40	22.25	0.10
18.37	57.31	19.81	5.42	0.61	8.75	0.68
18.43	68.94	33.09	-23.27	0.49	12.25	0.61
18.45	70.92	34.22	-23.63	0.49	12.00	0.61
18.49	39.77	199.84	-43.26	0.37	22.00	0.11
18.51	61.22	58.31	-28.24	0.43	15.00	0.50
18.52	47.87	16.54	13.97	0.67	7.50	0.68
18.55	60.23	97.47	-33.47	0.37	17.25	0.29
18.77	60.17	150.58	-35.68	0.34	19.25	0.24
